"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Clarke County, GA","13059",Suppressed,544742,Suppressed,Suppressed,Suppressed
,"Clayton County, GA","13063",14,1020907,1.4,0.7,2.3
,"Clinch County, GA","13065",Suppressed,20376,Suppressed,Suppressed,Suppressed
,"Cobb County, GA","13067",14,2633735,0.5,0.3,0.9
,"Columbia County, GA","13073",Suppressed,528183,Suppressed,Suppressed,Suppressed
,"Coweta County, GA","13077",Suppressed,481128,Suppressed,Suppressed,Suppressed
,"Crisp County, GA","13081",Suppressed,60013,Suppressed,Suppressed,Suppressed
,"DeKalb County, GA","13089",21,2631831,0.8,0.5,1.2
,"Dougherty County, GA","13095",Suppressed,273742,Suppressed,Suppressed,Suppressed
,"Douglas County, GA","13097",Suppressed,493742,Suppressed,Suppressed,Suppressed
,"Emanuel County, GA","13107",Suppressed,71911,Suppressed,Suppressed,Suppressed
,"Evans County, GA","13109",Suppressed,33014,Suppressed,Suppressed,Suppressed
,"Fayette County, GA","13113",Suppressed,342438,Suppressed,Suppressed,Suppressed
,"Floyd County, GA","13115",Suppressed,317103,Suppressed,Suppressed,Suppressed
,"Forsyth County, GA","13117",Suppressed,853530,Suppressed,Suppressed,Suppressed
,"Fulton County, GA","13121",25,3908687,0.6,0.4,0.9
,"Glynn County, GA","13127",Suppressed,244602,Suppressed,Suppressed,Suppressed
,"Gordon County, GA","13129",Suppressed,187865,Suppressed,Suppressed,Suppressed
,"Gwinnett County, GA","13135",18,3286465,0.5,0.3,0.9
,"Hall County, GA","13139",Suppressed,670394,Suppressed,Suppressed,Suppressed
,"Hancock County, GA","13141",Suppressed,24873,Suppressed,Suppressed,Suppressed
,"Harris County, GA","13145",Suppressed,103498,Suppressed,Suppressed,Suppressed
,"Hart County, GA","13147",Suppressed,73813,Suppressed,Suppressed,Suppressed
,"Henry County, GA","13151",Suppressed,817626,Suppressed,Suppressed,Suppressed
,"Houston County, GA","13153",Suppressed,548379,Suppressed,Suppressed,Suppressed
,"Irwin County, GA","13155",Suppressed,29452,Suppressed,Suppressed,Suppressed
,"Jackson County, GA","13157",Suppressed,260566,Suppressed,Suppressed,Suppressed
,"Jones County, GA","13169",Suppressed,86575,Suppressed,Suppressed,Suppressed
,"Lamar County, GA","13171",Suppressed,63030,Suppressed,Suppressed,Suppressed
,"Laurens County, GA","13175",Suppressed,145237,Suppressed,Suppressed,Suppressed
,"Liberty County, GA","13179",Suppressed,240567,Suppressed,Suppressed,Suppressed
,"Lowndes County, GA","13185",Suppressed,428851,Suppressed,Suppressed,Suppressed
,"McDuffie County, GA","13189",Suppressed,62058,Suppressed,Suppressed,Suppressed
,"Macon County, GA","13193",Suppressed,39745,Suppressed,Suppressed,Suppressed
,"Meriwether County, GA","13199",Suppressed,59183,Suppressed,Suppressed,Suppressed
,"Mitchell County, GA","13205",Suppressed,66083,Suppressed,Suppressed,Suppressed
,"Murray County, GA","13213",Suppressed,126561,Suppressed,Suppressed,Suppressed
,"Muscogee County, GA","13215",Suppressed,669338,Suppressed,Suppressed,Suppressed
,"Newton County, GA","13217",Suppressed,381416,Suppressed,Suppressed,Suppressed
,"Paulding County, GA","13223",Suppressed,596223,Suppressed,Suppressed,Suppressed
,"Peach County, GA","13225",Suppressed,91657,Suppressed,Suppressed,Suppressed
,"Pickens County, GA","13227",Suppressed,93255,Suppressed,Suppressed,Suppressed
,"Polk County, GA","13233",Suppressed,135729,Suppressed,Suppressed,Suppressed
,"Rabun County, GA","13241",Suppressed,43551,Suppressed,Suppressed,Suppressed
,"Randolph County, GA","13243",Suppressed,16530,Suppressed,Suppressed,Suppressed
,"Richmond County, GA","13245",Suppressed,692423,Suppressed,Suppressed,Suppressed
,"Rockdale County, GA","13247",Suppressed,290927,Suppressed,Suppressed,Suppressed
,"Spalding County, GA","13255",Suppressed,206033,Suppressed,Suppressed,Suppressed
,"Stephens County, GA","13257",Suppressed,77511,Suppressed,Suppressed,Suppressed
,"Sumter County, GA","13261",Suppressed,93430,Suppressed,Suppressed,Suppressed
,"Tattnall County, GA","13267",Suppressed,85148,Suppressed,Suppressed,Suppressed
,"Taylor County, GA","13269",Suppressed,22263,Suppressed,Suppressed,Suppressed
,"Thomas County, GA","13275",Suppressed,131613,Suppressed,Suppressed,Suppressed
,"Tift County, GA","13277",Suppressed,132556,Suppressed,Suppressed,Suppressed
